false_positive_rate,true_positive_rate,threshold
0.45244956772334294,0.948948948948949,0.00110586
0.4553314121037464,0.948948948948949,0.0010935081
0.4553314121037464,0.94994994994995,0.0010860645
0.45821325648414984,0.94994994994995,0.0010508383
0.45821325648414984,0.9519519519519519,0.0010184267
0.4668587896253602,0.9519519519519519,0.00097345246
0.4668587896253602,0.954954954954955,0.00095498003
0.484149855907781,0.954954954954955,0.0008468352
0.484149855907781,0.9579579579579579,0.00080716715
0.48703170028818443,0.9579579579579579,0.00077654124
0.48703170028818443,0.958958958958959,0.0007299421
0.4899135446685879,0.958958958958959,0.0006950774
0.4899135446685879,0.95995995995996,0.00065335183
0.49855907780979825,0.95995995995996,0.0006273265
0.49855907780979825,0.960960960960961,0.0006097593
0.5100864553314121,0.960960960960961,0.0005538788
0.5100864553314121,0.9629629629629629,0.00053860486
0.5187319884726225,0.9629629629629629,0.0005166351
0.5187319884726225,0.964964964964965,0.0005074373
0.521613832853026,0.964964964964965,0.0004973915
0.521613832853026,0.965965965965966,0.00048518728
0.5273775216138329,0.965965965965966,0.000418484
0.5273775216138329,0.9679679679679679,0.00036860566
0.5360230547550432,0.9679679679679679,0.00033388587
0.5360230547550432,0.968968968968969,0.00031165345
0.5389048991354467,0.968968968968969,0.00030255545
0.5389048991354467,0.96996996996997,0.00028747943
0.553314121037464,0.96996996996997,0.00026515848
0.553314121037464,0.970970970970971,0.00021812807
0.5648414985590778,0.970970970970971,0.00019338568
0.5648414985590778,0.972972972972973,0.00018403237
0.5706051873198847,0.972972972972973,0.00017978562
0.5706051873198847,0.974974974974975,0.00016740785
0.579250720461095,0.974974974974975,0.0001498487
0.579250720461095,0.977977977977978,0.00014284303
0.5965417867435159,0.977977977977978,0.00012043815
0.5965417867435159,0.978978978978979,0.00011824247
0.6051873198847262,0.978978978978979,9.99854e-05
0.6051873198847262,0.9819819819819819,9.755927e-05
0.6167146974063401,0.9819819819819819,7.792771e-05
0.6167146974063401,0.982982982982983,7.69511e-05
0.622478386167147,0.982982982982983,6.990124e-05
0.622478386167147,0.983983983983984,6.692222e-05
0.6311239193083573,0.983983983983984,5.6306082e-05
0.6311239193083573,0.984984984984985,5.499726e-05
0.6455331412103746,0.984984984984985,4.353115e-05
0.6455331412103746,0.985985985985986,4.31866e-05
0.6512968299711815,0.985985985985986,3.3695298e-05
0.6512968299711815,0.986986986986987,3.1486237e-05
0.659942363112392,0.986986986986987,2.9871915e-05
0.659942363112392,0.987987987987988,2.9458828e-05
0.6685878962536023,0.987987987987988,2.468088e-05
0.6685878962536023,0.98998998998999,2.0983938e-05
0.6714697406340058,0.98998998998999,2.0321051e-05
0.6714697406340058,0.990990990990991,2.0272271e-05
0.6829971181556196,0.990990990990991,1.8650751e-05
0.6829971181556196,0.992992992992993,1.5092243e-05
0.7118155619596542,0.992992992992993,1.2044287e-05
0.7118155619596542,0.993993993993994,1.1892167e-05
0.7521613832853026,0.993993993993994,4.3488685e-06
0.7521613832853026,0.994994994994995,4.272155e-06
0.760806916426513,0.994994994994995,3.362863e-06
0.760806916426513,0.995995995995996,3.2923454e-06
0.8270893371757925,0.995995995995996,5.4171926e-07
0.8270893371757925,0.996996996996997,4.797464e-07
0.8443804034582133,0.996996996996997,2.7794397e-07
0.8443804034582133,0.997997997997998,1.8434487e-07
0.9654178674351584,0.997997997997998,3.338913e-10
0.9654178674351584,0.998998998998999,3.30673e-10
0.9769452449567724,0.998998998998999,3.4406183e-11
0.9769452449567724,1.0,1.8344784e-11
1.0,1.0,6.6942796e-14
